Latitude (decimal degrees): 34.033
Longitude (decimal degrees): -4.980
Elevation (m): 418.0
Irradiance Time Offset (h): 0.1616
month,year
1,2019
2,2007
3,2008
4,2006
5,2011
6,2022
7,2011
8,2005
9,2005
10,2011
11,2010
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,5.79,70.8,0.0,-0.0,0.0,255.4,1.65,163.0,96630.0
20190101:0100,4.94,71.73,0.0,-0.0,0.0,255.17,1.72,164.0,96650.0
20190101:0200,4.09,72.66,0.0,-0.0,0.0,254.95,1.78,164.0,96640.0
20190101:0300,3.25,73.6,0.0,-0.0,0.0,254.72,1.85,164.0,96670.0
20190101:0400,2.4,74.53,0.0,-0.0,0.0,254.5,1.91,167.0,96670.0
20190101:0500,1.55,75.46,0.0,-0.0,0.0,254.27,1.98,172.0,96660.0
20190101:0600,0.7,76.4,0.0,-0.0,0.0,254.04,2.04,174.0,96690.0
20190101:0700,-0.14,77.33,0.0,-0.0,0.0,253.82,2.1,174.0,96760.0
20190101:0800,2.71,70.4,81.0,277.14,47.0,260.1,1.86,169.0,96820.0
20190101:0900,5.9,73.65,254.0,542.44,98.0,258.55,1.17,174.0,96890.0
20190101:1000,11.71,53.35,439.0,880.41,71.0,262.2,0.48,173.0,96930.0
20190101:1100,14.86,35.85,540.0,899.02,86.0,269.6,0.41,340.0,96910.0
20190101:1200,16.44,32.2,580.0,880.82,102.0,274.8,1.1,337.0,96870.0
20190101:1300,17.16,32.35,549.0,807.99,122.0,274.2,1.38,339.0,96800.0
20190101:1400,17.47,32.5,455.0,692.8,134.0,273.05,1.31,344.0,96760.0
20190101:1500,17.29,34.9,354.0,818.82,66.0,273.85,1.1,348.0,96750.0
20190101:1600,16.61,39.0,178.0,650.98,47.0,273.65,0.83,342.0,96790.0
20190101:1700,15.2,48.55,0.0,0.0,0.0,268.4,0.62,316.0,96810.0
